id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,nama_puskesmas,alamat,lat,long,tahun
27,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,CIPAKU,JL. CIPAKU INDAH IV NO. 17 A,-6.8624,107.6005,2023
28,32,JAWA BARAT,3273,KOTA BANDUNG,3273100,RANCASARI,32.73.23,RANCASARI,CIPAMOKALAN,JL. CIPAMOKALAN 04/08,-6.947,107.6764,2023
29,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,CIUMBULEUIT,JL. BUKIT RESIK,-6.878,107.6031,2023
30,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,DAGO,JL. IR.H. DJUANDA NO. 360 RT 09 RW 06,-6.876,107.6187,2023
31,32,JAWA BARAT,3273,KOTA BANDUNG,3273100,RANCASARI,32.73.23,RANCASARI,DERWATI,JL. RAYA DERWATI NO. 38,-6.9649,107.6828,2023
32,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,GARUDA,JL. DADALI NO. 81,-6.9113,107.5774,2023
33,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,32.73.30,MANDALAJATI,GIRIMANDE,JL. CIKADUT KOMP. GIRIMANDE,-6.8933,107.6726,2023
34,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,GRIYA ANTAPANI,JL. PLERED RAYA N0.2 ANTAPANI,-6.9168,107.6604,2023
35,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,GUMURUH,JL. RANCAGOONG NO. 11 BANDUNG,-6.9322,107.6359,2023
36,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,IBRAHIM ADJIE,JL. IBRAHIM DJIE,-6.9187,107.6439,2023
