kecamatan,gender,latitude,longitude,luas_m2,harga,harga_per_m2
cibeunying kidul,Kos Campur,-6.908322,107.638115,9.0,450000,50000.0
coblong,Kos Putri,-6.8868691039008,107.62372255325,9.0,650000,72222.22222222222
cibeunying kidul,Kos Campur,-6.905526,107.6474838,8.399999999999999,2250000,267857.1428571429
coblong,Kos Putra,-6.8976758508698,107.62156873941,9.0,850000,94444.44444444444
coblong,Kos Putra,-6.882022,107.62063,9.0,1300000,144444.44444444444
coblong,Kos Putra,-6.886206,107.618211,12.0,1400000,116666.66666666667
coblong,Kos Putra,-6.884974,107.620447,6.25,600000,96000.0
coblong,Kos Putri,-6.885669818402,107.61821161956,9.0,650000,72222.22222222222
coblong,Kos Putra,-6.8811839,107.6172685,9.0,825000,91666.66666666667
cibeunying kaler,Kos Putri,-6.897115,107.633124,12.0,1350000,112500.0
cibeunying kaler,Kos Campur,-6.8860962091806,107.62847978622,12.0,900000,75000.0
coblong,Kos Putri,-6.8864285,107.6181933,9.0,850000,94444.44444444444
sumur bandung,Kos Putra,-6.9126661703408,107.62759131905,10.5,700000,66666.66666666667
coblong,Kos Campur,-6.88336,107.61858,16.0,3000000,187500.0
coblong,Kos Putri,-6.89664,107.617707,9.0,750000,83333.33333333333
coblong,Kos Putra,-6.890604,107.627964,12.25,1550000,126530.61224489796
cibeunying kaler,Kos Putri,-6.9027607649219,107.63286352158,12.0,1400000,116666.66666666667
coblong,Kos Putri,-6.8924114744012,107.62492116541,12.0,950000,79166.66666666667
coblong,Kos Putra,-6.887144,107.616493,16.0,1400000,87500.0
cibeunying kaler,Kos Putra,-6.898709,107.641536,8.0,850000,106250.0
cibeunying kaler,Kos Campur,-6.9016909970055,107.63300836086,9.0,1400000,155555.55555555556
cibeunying kaler,Kos Putra,-6.8963767376064,107.63075396419,6.0,900000,150000.0
coblong,Kos Putra,-6.887991,107.619079,12.0,1000000,83333.33333333333
coblong,Kos Putra,-6.8887301040659,107.61767417192,12.0,750000,62500.0
coblong,Kos Campur,-6.8871437108948,107.61649265885,25.0,1600000,64000.0
cimenyan,Kos Putra,-6.8875228347138,107.63364069164,12.25,850000,69387.75510204081
cibeunying kaler,Kos Putra,-6.892846,107.630533,12.0,700000,58333.333333333336
cibeunying kidul,Kos Putri,-6.902117,107.641061,9.0,775000,86111.11111111111
coblong,Kos Putra,-6.8886954870663,107.6169513166,9.0,900000,100000.0
coblong,Kos Putri,-6.886142,107.618794,9.0,2500000,277777.77777777775
antapani,Kos Putri,-6.9090813,107.6535622,12.0,850000,70833.33333333333
coblong,Kos Putra,-6.8907337,107.62811,12.0,1400000,116666.66666666667
cibeunying kaler,Kos Campur,-6.902217,107.630348,12.0,950000,79166.66666666667
cibeunying kaler,Kos Putra,-6.897377,107.63901,6.25,650000,104000.0
sukajadi,Kos Putri,-6.8811941129547,107.58071629005,16.0,1600000,100000.0
sukajadi,Kos Putri,-6.8811941129547,107.58071629005,12.0,1477000,123083.33333333333
sukajadi,Kos Putri,-6.8811941129547,107.58071629005,18.0,2533000,140722.22222222222
sukajadi,Kos Putra,-6.8818395,107.5982929,7.5,835000,111333.33333333333
sukajadi,Kos Putra,-6.8818395,107.5982929,9.0,975000,108333.33333333333
sukajadi,Kos Putra,-6.8818395,107.5982929,14.0,1245000,88928.57142857143
sukajadi,Kos Putra,-6.8818395,107.5982929,10.5,1020000,97142.85714285714
sukajadi,Kos Campur,-6.8841786126657,107.59833376855,9.0,650000,72222.22222222222
andir,Kos Campur,-6.902063,107.569897,9.0,1150000,127777.77777777778
cicendo,Kos Campur,-6.8938927,107.5693014,12.0,1735000,144583.33333333334
sukajadi,Kos Putri,-6.8885654242276,107.58099252557,7.5,1092200,145626.66666666666
